,rider,stage_results_id,rank,team,points,Type
0,Albasini Michael,1,40,ORICA-Scott,0.0,Individual time trial
1,Albasini Michael,2,49,ORICA-Scott,0.0,Flat stage
2,Albasini Michael,3,51,ORICA-Scott,0.0,Medium mountain stage
3,Albasini Michael,4,110,ORICA-Scott,0.0,Flat stage
4,Albasini Michael,5,128,ORICA-Scott,0.0,Medium mountain stage
5,Albasini Michael,6,38,ORICA-Scott,0.0,Flat stage
6,Albasini Michael,7,146,ORICA-Scott,0.0,Flat stage
7,Albasini Michael,8,105,ORICA-Scott,0.0,Medium mountain stage
8,Albasini Michael,9,117,ORICA-Scott,0.0,High mountain stage
9,Albasini Michael,10,72,ORICA-Scott,0.0,Flat stage
10,Albasini Michael,11,91,ORICA-Scott,0.0,Flat stage
11,Albasini Michael,12,156,ORICA-Scott,0.0,High mountain stage
12,Albasini Michael,13,125,ORICA-Scott,0.0,High mountain stage
13,Albasini Michael,14,83,ORICA-Scott,0.0,Medium mountain stage
14,Albasini Michael,15,102,ORICA-Scott,0.0,Medium mountain stage
15,Albasini Michael,16,109,ORICA-Scott,0.0,Medium mountain stage
16,Albasini Michael,17,129,ORICA-Scott,0.0,High mountain stage
17,Albasini Michael,18,137,ORICA-Scott,0.0,High mountain stage
18,Albasini Michael,19,9,ORICA-Scott,14.0,Flat stage
19,Albasini Michael,20,74,ORICA-Scott,0.0,Individual time trial
20,Albasini Michael,21,103,ORICA-Scott,0.0,Flat stage
21,Amador Andrey,1,19,Movistar Team,0.0,Individual time trial
22,Amador Andrey,2,188,Movistar Team,0.0,Flat stage
23,Amador Andrey,3,120,Movistar Team,0.0,Medium mountain stage
24,Amador Andrey,4,91,Movistar Team,0.0,Flat stage
25,Amador Andrey,5,104,Movistar Team,0.0,Medium mountain stage
26,Amador Andrey,6,90,Movistar Team,0.0,Flat stage
27,Amador Andrey,7,111,Movistar Team,0.0,Flat stage
28,Amador Andrey,8,110,Movistar Team,0.0,Medium mountain stage
29,Amador Andrey,9,80,Movistar Team,0.0,High mountain stage
30,Amador Andrey,10,76,Movistar Team,0.0,Flat stage
31,Amador Andrey,11,99,Movistar Team,0.0,Flat stage
32,Amador Andrey,12,101,Movistar Team,0.0,High mountain stage
33,Amador Andrey,13,96,Movistar Team,0.0,High mountain stage
34,Amador Andrey,14,97,Movistar Team,0.0,Medium mountain stage
35,Amador Andrey,15,60,Movistar Team,0.0,Medium mountain stage
36,Amador Andrey,16,55,Movistar Team,0.0,Medium mountain stage
37,Amador Andrey,17,70,Movistar Team,0.0,High mountain stage
38,Amador Andrey,18,99,Movistar Team,0.0,High mountain stage
39,Amador Andrey,19,143,Movistar Team,0.0,Flat stage
40,Amador Andrey,20,163,Movistar Team,0.0,Individual time trial
41,Amador Andrey,21,43,Movistar Team,0.0,Flat stage
42,Arashiro Yukiya,1,175,Bahrain Merida Pro Cycling Team,0.0,Individual time trial
43,Arashiro Yukiya,2,23,Bahrain Merida Pro Cycling Team,0.0,Flat stage
44,Arashiro Yukiya,3,80,Bahrain Merida Pro Cycling Team,0.0,Medium mountain stage
45,Arashiro Yukiya,4,53,Bahrain Merida Pro Cycling Team,0.0,Flat stage
46,Arashiro Yukiya,5,111,Bahrain Merida Pro Cycling Team,0.0,Medium mountain stage
47,Arashiro Yukiya,6,131,Bahrain Merida Pro Cycling Team,0.0,Flat stage
48,Arashiro Yukiya,7,42,Bahrain Merida Pro Cycling Team,0.0,Flat stage
49,Arashiro Yukiya,8,143,Bahrain Merida Pro Cycling Team,0.0,Medium mountain stage
50,Arashiro Yukiya,9,97,Bahrain Merida Pro Cycling Team,0.0,High mountain stage
51,Arashiro Yukiya,10,24,Bahrain Merida Pro Cycling Team,0.0,Flat stage
